region,N,share,nace2
3,101,0.052169421487603305,78
6,89,0.04597107438016529,78
5,75,0.038739669421487606,78
7,64,0.03305785123966942,78
4,50,0.025826446280991736,78
1,1010,0.4665127020785219,79
NA,695,0.3210161662817552,79
3,89,0.041108545034642036,79
2,85,0.03926096997690531,79
7,85,0.03926096997690531,79
4,76,0.03510392609699769,79
6,69,0.03187066974595843,79
5,56,0.025866050808314087,79
1,1507,0.484254498714653,80
NA,719,0.23104113110539845,80
6,192,0.061696658097686374,80
2,160,0.05141388174807198,80
7,147,0.04723650385604113,80
5,137,0.04402313624678663,80
3,133,0.04273778920308483,80
4,117,0.03759640102827763,80
1,3149,0.5042433947157726,81
NA,775,0.12409927942353884,81
2,481,0.07702161729383507,81
3,408,0.06533226581265011,81
6,399,0.06389111289031225,81
7,373,0.059727782225780623,81
5,336,0.05380304243394716,81
4,324,0.05188150520416333,81
1,4753,0.5688809096349491,82
NA,789,0.09443447037701976,82
7,558,0.06678635547576302,82
2,510,0.06104129263913824,82
6,501,0.0599640933572711,82
3,451,0.05397965290245362,82
5,398,0.047636146020347096,82
4,395,0.04727707959305805,82
NA,688,0.7552140504939627,84
1,91,0.09989023051591657,84
6,30,0.03293084522502744,84
3,27,0.029637760702524697,84
5,25,0.027442371020856202,84
7,20,0.021953896816684963,84
4,16,0.01756311745334797,84
2,14,0.015367727771679473,84
1,4152,0.4878392668311597,85
NA,801,0.09411350017624251,85
6,773,0.0908236399953002,85
2,630,0.07402185407120197,85
7,582,0.06838209376101516,85
5,532,0.06250734343790389,85
4,525,0.06168487839266831,85
3,516,0.06062742333450828,85
1,6162,0.3730701701277472,86
6,1988,0.12036084034630987,86
7,1729,0.1046800266392202,86
5,1505,0.09111824181146698,86
3,1439,0.08712235878186111,86
2,1408,0.0852455046315917,86
4,1340,0.08112853423745232,86
NA,946,0.05727432342435067,86
NA,681,0.7668918918918919,87
1,72,0.08108108108108109,87
2,33,0.037162162162162164,87
4,26,0.02927927927927928,87
6,26,0.02927927927927928,87
7,20,0.02252252252252252,87
5,18,0.02027027027027027,87
3,12,0.013513513513513514,87
NA,685,0.53515625,88
1,319,0.24921875,88
6,57,0.04453125,88
7,52,0.040625,88
2,48,0.0375,88
5,48,0.0375,88
4,38,0.0296875,88
3,33,0.02578125,88
NA,678,0.9509116409537167,89
1,15,0.021037868162692847,89
2,7,0.009817671809256662,89
5,7,0.009817671809256662,89
3,5,0.0070126227208976155,89
7,1,0.001402524544179523,89
1,2636,0.6148822020060648,90
NA,737,0.17191509213902495,90
2,184,0.04292045719617448,90
7,168,0.03918824352694192,90
5,144,0.03358992302309307,90
3,140,0.032656869605784934,90
4,139,0.0324236062514579,90
6,139,0.0324236062514579,90
NA,692,0.7104722792607803,91
1,128,0.13141683778234087,91
5,33,0.033880903490759756,91
7,26,0.026694045174537988,91
3,25,0.02566735112936345,91
6,25,0.02566735112936345,91
4,24,0.024640657084188913,91
2,21,0.021560574948665298,91
NA,679,0.5987654320987654,92
1,190,0.1675485008818342,92
6,72,0.06349206349206349,92
7,62,0.054673721340388004,92
