var1,var2,cor,nace2
pretax,eszk,0.4914592664785039,14
persexp_clean,eszk,0.689443202255395,14
satok,eszk,0.9029387381796868,14
export_value,eszk,0.4898931043978246,14
ereduzem,eszk,0.5182198312891635,14
emp,eszk,0.571375895978201,14
liabilities,eszk,0.9146683026349178,14
age,sales_clean,0.08445546685716332,14
tanass_clean,sales_clean,0.5295700885526968,14
eszk,sales_clean,0.7520283268843093,14
sales_clean,sales_clean,1,14
pretax,sales_clean,0.4229642085624748,14
persexp_clean,sales_clean,0.45827178795591655,14
satok,sales_clean,0.634913774185491,14
export_value,sales_clean,0.912301822401185,14
ereduzem,sales_clean,0.45821305973415777,14
emp,sales_clean,0.3518695599527322,14
liabilities,sales_clean,0.7329211969903128,14
age,pretax,0.061522340556840895,14
tanass_clean,pretax,0.48040594426103417,14
eszk,pretax,0.4914592664785039,14
sales_clean,pretax,0.4229642085624748,14
pretax,pretax,1,14
persexp_clean,pretax,0.3981691075829003,14
satok,pretax,0.5699996496755936,14
export_value,pretax,0.35743051500900563,14
ereduzem,pretax,0.996625625392297,14
emp,pretax,0.2530649601756248,14
liabilities,pretax,0.3283870522871768,14
age,persexp_clean,0.19606033196560338,14
tanass_clean,persexp_clean,0.6930461313679132,14
eszk,persexp_clean,0.689443202255395,14
sales_clean,persexp_clean,0.45827178795591655,14
pretax,persexp_clean,0.3981691075829003,14
persexp_clean,persexp_clean,1,14
satok,persexp_clean,0.6701891461609191,14
export_value,persexp_clean,0.29011515250323466,14
ereduzem,persexp_clean,0.4172237361475899,14
emp,persexp_clean,0.9146822138169666,14
liabilities,persexp_clean,0.603753199722021,14
age,satok,0.22762738783853087,14
tanass_clean,satok,0.8970512122187319,14
eszk,satok,0.9029387381796868,14
sales_clean,satok,0.634913774185491,14
pretax,satok,0.5699996496755936,14
persexp_clean,satok,0.6701891461609191,14
satok,satok,1,14
export_value,satok,0.3497892697541871,14
ereduzem,satok,0.5779409381131828,14
emp,satok,0.588930200999961,14
liabilities,satok,0.6537096403760483,14
age,export_value,-0.02105612049936436,14
tanass_clean,export_value,0.19134699507908975,14
eszk,export_value,0.4898931043978246,14
sales_clean,export_value,0.912301822401185,14
pretax,export_value,0.35743051500900563,14
persexp_clean,export_value,0.29011515250323466,14
satok,export_value,0.3497892697541871,14
export_value,export_value,1,14
ereduzem,export_value,0.3915963615733168,14
emp,export_value,0.11604861633030415,14
liabilities,export_value,0.5216093038501304,14
age,ereduzem,0.06248781127546232,14
tanass_clean,ereduzem,0.4995971817889218,14
eszk,ereduzem,0.5182198312891635,14
sales_clean,ereduzem,0.45821305973415777,14
pretax,ereduzem,0.996625625392297,14
persexp_clean,ereduzem,0.4172237361475899,14
